Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5BOZ4skcMubA0R6RD4zf64,"0Tob4H0FLtEONHU1MjpUEp,1Xylc3o4UrD53lo9CvFvVg","Girls Like (feat. Zara Larsson)","YOUTH","Tinie Tempah,Zara Larsson",2017-03-31,195306,62,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"dance pop,grime,pop rap,pop,scandipop,swedish electropop,swedish pop",0.916,0.815,0,-3.418,1,0.0495,0.386,0.00000634,0.0765,0.577,120.032,4
7xb9wU3IslgIVsr39zNUiS,"6wMr4zKPrrR0UVz08WtUWc,1Cs0zKBU1kc0i8ypK3B9ai,3WtrH1zNpzoPSz6XpwCh6y","Drive - Radio Edit","Subconsciously","Black Coffee,David Guetta,Delilah Montagu",2021-02-05,191258,46,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"south african house,south african pop,south african pop dance,big room,dance pop,edm,pop,pop dance,british singer-songwriter",0.719,0.792,11,-8.776,0,0.038,0.00124,0.0425,0.0791,0.425,118.019,4
1sZdA2fECSCT8uAwUbaufn,"2XTff332rrZaE1rBM47Krp,5nFE04n4XL2DRSL0DZ1z37","Alone in This Rhythm - Ben Macklin Remix","Alone in This Rhythm","Blank & Jones,Ben Macklin",2021-09-17,284680,32,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"chill lounge,german techno,trance",0.874,0.452,1,-9.491,0,0.0405,0.126,0.101,0.124,0.649,109.983,4
0NPyPj2alogdyvpALNsxLu,"3hDNQMY9q1HWDC8lfFLfTz,6wrD0NOeNUdjXAOJdA2J38","Emotions","Emotions","Paul Seling,Zara Taylor",2023-05-12,235932,4,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"vocal trance",0.603,0.595,9,-13.268,0,0.0342,0.297,0.0845,0.102,0.271,117.993,4
5Z8Dj3LtbyCMiwE86rhg2f,"4oLeXFyACqeem2VImYeBFe,4TvhRzxIL1le2PWCeUqxQw","Marea (we’ve lost dancing)","Actual Life (April 14 - December 17 2020)","Fred again..,The Blessed Madonna",2021-04-15,285375,77,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"edm,house,stutter house",0.761,0.781,5,-6.778,0,0.141,0.0681,0.108,0.0607,0.473,123.023,4
22caWkhjEGaC2aVwBMVs98,"1vXY7FiXJPu6j456ZcrtIF","kawamurra","kawamurra","sunflwr",2021-05-02,219523,0,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"",0.98,0.529,11,-9.665,0,0.219,0.165,0.0773,0.0887,0.285,126.004,4
1INGhlzN0cZ7HpTEVeNxcV,"2Uy7rPXDCqkd90ksG3sgt0,7IW4YKTNTHrDyceOTa9qbK","Searching","Searching","Sir LSG,Nutownsoul",2021-10-15,474368,18,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"south african house,south african soulful deep house",0.794,0.466,9,-6.394,1,0.0523,0.0156,0.000348,0.0606,0.838,119.978,4
0wR2QCsfNru1HgdbuMfWbF,"2gHF2JSNXKMMTfF1mQxEK9","It's All Good","It's All Good","Dazy Chain",2023-09-15,188764,28,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"",0.69,0.887,0,-4.768,1,0.0749,0.16,0,0.267,0.886,89.009,4
6kQz6t5z1FK4uohPh8Kd73,"2DlGxzQSjYe5N6G9nkYghR","Let's Get Loud","On The 6","Jennifer Lopez",1999-04-20,238226,71,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"dance pop,pop,urban contemporary",0.82,0.937,5,-4.81,0,0.0542,0.139,0.0000751,0.325,0.922,131.006,4
70lLiHqHvyLDgUT2p5uBIz,"6caPJFLv1wesmM7gwK1ACy","Sandmann","22","Boris Brejcha",2016-02-22,455040,23,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"german house,german techno,high-tech minimal,minimal techno",0.778,0.611,10,-9.598,1,0.127,0.000287,0.799,0.0754,0.401,124.995,4
3aAgQEbQUFMhXqk9fz3fcK,"6caPJFLv1wesmM7gwK1ACy,0IEPb9ily3E5IAYMSkwtQ6","House Music (feat. Arctic Lake) - Edit","House Music (feat. Arctic Lake) [Edit]","Boris Brejcha,Arctic Lake",2021-04-30,179520,58,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"german house,german techno,high-tech minimal,minimal techno,vapor pop",0.818,0.35,7,-12.34,1,0.0558,0.000299,0.0103,0.124,0.334,125.002,4
1jAw5VYWL9dXiJV53Weco5,"6caPJFLv1wesmM7gwK1ACy,5b0sKzG9NeO7OjbZJ61ZBN","Never Stop Dancing","Never Stop Dancing","Boris Brejcha,Ginger",2021-11-26,466560,31,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"german house,german techno,high-tech minimal,minimal techno",0.798,0.402,2,-10.47,1,0.0911,0.000619,0.889,0.112,0.13,125.006,4
12LOYGBr0T0IqyuhEILYFh,"7ry8L53T4oJtSIogGYuioq","La clé des champs","La clé des champs","NTO",2016-09-30,416000,60,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"deep euro house,minimal melodic techno,new french touch",0.461,0.526,6,-10.668,1,0.0506,0.00142,0.861,0.108,0.0401,120.011,4
5ebmgjX1AIlMPXmAvmxfoH,"6caPJFLv1wesmM7gwK1ACy,5b0sKzG9NeO7OjbZJ61ZBN","Spicy (feat. Ginger) - Edit","Spicy (feat. Ginger) [Edit]","Boris Brejcha,Ginger",2021-04-02,211200,57,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"german house,german techno,high-tech minimal,minimal techno",0.711,0.472,7,-10.52,0,0.0464,0.000243,0.827,0.0838,0.142,125.013,4
5Y7kHWJgIklRuPxH04qYgq,"5wJK4kQAkVGjqM9x46KQOC,4ORnI4BzjKFbUply6fRvkX","Tuk Tuk (feat. ÄTNA)","Nobody Is Not Loved","Solomun,ÄTNA",2021-05-28,253825,45,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"german techno,hamburg electronic,melodic techno,minimal techno,dresden indie,german indie",0.861,0.774,6,-6.177,0,0.0755,0.0116,0.0322,0.0534,0.777,122.008,4
2AMa0hduUc6s6p1hfipiCg,"5wJK4kQAkVGjqM9x46KQOC","The Center Will Not Hold","Nobody Is Not Loved","Solomun",2021-05-28,230239,40,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"german techno,hamburg electronic,melodic techno,minimal techno",0.694,0.657,6,-8.15,1,0.0366,0.125,0.928,0.111,0.707,119.992,4
34t7Cr9FhUTj9xbzpMIDaq,"2Po6PWRViaK7I9kvFiILxF,2V431yZGG08uroH2CZAgur","Blame","Blame","Daniel Glaven,Sarah de Warren",2023-01-20,138541,5,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"chill house,tropical house,indie electropop",0.737,0.693,3,-8.015,0,0.134,0.103,0.0000499,0.292,0.491,119.959,4
6w2WWyBAOXQeP6waVT9s5O,"3NRpcByltnHx7oZxWbg8Lt","Deep End","Deep End","BenjiFlow",2018-10-30,202360,44,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"uk alternative hip hop",0.533,0.622,1,-5.77,1,0.072,0.146,0.114,0.118,0.666,99.93,4
6ux2H7UNxe4vzgNQLZQQXN,"1EYdbYpGAuJy6uZo4sVMoM","wine slow","Andere Tijden","Idaly",2018-06-21,164211,43,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"dutch hip hop,dutch rap pop",0.813,0.763,5,-5.884,1,0.0554,0.258,0.358,0.13,0.602,96.032,4
6E12A1iLAqjjOUlEjTY78N,"1lEBJGJgdoevi1Clv9CqLT","SDDS","SDDS","Branko",2020-06-10,215084,0,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"moombahton",0.832,0.519,5,-9.28,0,0.047,0.58,0.864,0.115,0.518,118.021,4
2OuJHXNnyESgXpR0TVA2rI,"2eSj64hhMVJPYbjpli6k4p,0W8WpLB5WoXLgiA193LXk6,35dOlJVSlUnLCztw8UBNAx","Control (Ft. Priscilla)","Imizamo","Karyendasoul,Sun-El Musician,Priscilla",2021-11-12,453292,27,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"afro house,afro soul,south african pop,south african pop dance",0.711,0.487,10,-10.456,0,0.0351,0.168,0.213,0.0826,0.506,123.006,4
1FldTngI0AsCJUxJR230Ro,"0nzV2U3TuoZhNqZFW564NI,3ZrLoZzZMTzxQmkfPl1NEU,05mQBIB3X6Mxtw2qelSiB9","He Keeps Me Safe - Retro Mix","Musique","Chymamusique,Mlindos,Dustinho",2021-09-30,415245,29,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"south african deep house,south african house,south african soulful deep house",0.816,0.88,6,-6.018,0,0.0677,0.0197,0.264,0.0347,0.971,117.007,4
0elzxb4UhK5pC99XFxLM9Y,"2eSj64hhMVJPYbjpli6k4p,2o9225GgSICygCOxroILhb,1B4FnAkti1c4KGQDv78pYq,5kbgir8ZrgFXApjjfGAqYv","Imizamo (Ft. Nana Atta, Teezy Musician)","Imizamo","Karyendasoul,BlaQRhythm,Nana Atta,Teezy Musician",2021-11-12,235826,32,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"afro house,south african house",0.777,0.572,2,-10.691,1,0.0574,0.201,0.0783,0.108,0.594,115.044,4
280MTeg7bZYCHaHxhaAtPq,"2eSj64hhMVJPYbjpli6k4p,5mZLaYqN0ZkjxfeUUmiuqL,1B4FnAkti1c4KGQDv78pYq","iMali (Ft. Nana Atta)","iMali","Karyendasoul,Zakes Bantwini,Nana Atta",2021-10-22,436000,48,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"afro house,afro soul,deep house,kwaito,south african house,south african pop",0.724,0.586,2,-10.271,1,0.0283,0.0734,0.00205,0.114,0.194,120.002,4
0QayFvre5hJOVTBkJnWKwF,"1HHU2iqCzLhS5eJjxTcL0G,74tJCrPNK21aC2OC8TppuW,7FR8ZynvReyPlYfi4LnKyI","Find Home - Vincenzo Remix","Find Home","Sumsuch,Matty Eeles,Vincenzo",2020-12-28,336048,35,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"",0.802,0.453,1,-9.187,1,0.0454,0.0427,0.649,0.101,0.446,117.99,4
2NEufTPQIoa55zC44s04C3,"4y7BFiVRM23Sw8fUPcfXRI","Another Night","Lumen","Marga Sol",2022-12-13,335857,7,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"chill lounge,deep chill",0.796,0.646,4,-7.153,0,0.093,0.0385,0.501,0.0771,0.925,105.002,4
5XFhuPUuBygYTzGsdlcgsV,"4KJr0U6w9jItvF3ypmQLjw","Come Soon","Come Soon","Jay Vegas",2018-10-01,354000,40,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"funky house,jackin' house",0.913,0.757,4,-7.876,0,0.0681,0.0204,0.0566,0.422,0.919,120.008,4
4dPP7GEqsI5yRy8w8CqWVi,"0hCNtLu0JehylgoiP8L4Gh","Right Thru Me","Pink Friday","Nicki Minaj",2010-01-01,235773,56,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"hip pop,pop,queens hip hop,rap",0.381,0.683,1,-4.724,1,0.162,0.0869,0.00164,0.168,0.168,162.246,3
3iL2l5gUqyPS6vDwJFgJTR,"5OrB6Jhhrl9y2PK0pSV4VP,1Xfmvd48oOhEWkscWyEbh9","BedRock","We Are Young Money","Young Money,Lloyd",2009-01-01,288133,72,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"dirty south rap,pop rap,rap,southern hip hop,trap,hip pop,r&b,urban contemporary",0.733,0.664,8,-6.163,1,0.295,0.102,0,0.191,0.557,148.005,4
2gZUPNdnz5Y45eiGxpHGSc,"5K4W6rqBFWDnAN6FQUkS6x","POWER","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,292093,81,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"chicago rap,hip hop,rap",0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4
1w6kG4Rc29m5EherbvpkF5,"0hCNtLu0JehylgoiP8L4Gh","Your Love","Pink Friday","Nicki Minaj",2010-01-01,245253,67,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"hip pop,pop,queens hip hop,rap",0.422,0.52,11,-10.231,1,0.343,0.00204,0.00413,0.411,0.184,189.63,4
4sw7dHjD6EsGs0d57AHgdy,"3KV3p5EY4AvKxOlhGHORLg","oui","Late Nights: The Album","Jeremih",2015-12-04,238320,0,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"chicago rap,pop rap,r&b,trap,urban contemporary",0.41,0.726,5,-3.845,1,0.15,0.203,0,0.107,0.552,77.226,5
1ypwNj8eK2qAMDEs4EiIIX,"6TLwD7HPWuiOzvXEa3oCNe,3t5xRXzsuZmMDkQzgOX35S","Miss You - Bonus Track","Alone In A Crowd","Oliver Tree,Robin Schulz",2023-09-29,206000,81,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"alternative hip hop,deep euro house,deep house,edm,german dance,pop dance,tropical house",0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4
2KklXplRtxMsBYo474Es0w,"4AKwRarlmsUlLjIwt38NLw","Be Mine","Be Mine","Ofenbach",2016-11-25,161322,71,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"pop dance",0.779,0.666,5,-7.361,1,0.0482,0.194,0.000556,0.0576,0.507,123.024,4
754kgU5rWscRTfvlsuEwFp,"0lJlKQvuM2Sd9DPPyUXcHg","Kiss Me","Sixpence None the Richer","Sixpence None The Richer",1997-11-22,208680,83,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"lilith,pop rock",0.526,0.749,3,-6.964,1,0.0283,0.023,0.00000176,0.0692,0.421,99.982,4
2O9O26335YYVckmRgPKY3s,"67hb7towEyKvt5Z8Bx306c","Alive","Ice On The Dune","Empire of the Sun",2013-01-01,204546,69,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop",0.524,0.882,5,-3.038,1,0.0367,0.108,0.0000011,0.071,0.399,119.94,4
5yuShbu70mtHXY0yLzCQLQ,"246dkjvS1zLTtiykXe5h60","Go Flex","Stoney (Deluxe)","Post Malone",2016-12-09,179613,80,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"dfw rap,melodic rap,pop,rap",0.665,0.498,5,-8.185,1,0.0832,0.228,0,0.0757,0.127,81.967,4
36482hNESSwELpr9sS3NbE,"3r17AfJCCUqC9Lf0OAc73G,3ZotbHeyVQKxQCPDJuQ4SU,53sIBaVjXQhfH89Vu6nEGh","A Little Party Never Killed Nobody (All We Got)","Music From Baz Luhrmann's Film The Great Gatsby (International Streaming Version)","Fergie,Q-Tip,GoonRock",2013-01-01,241306,63,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"dance pop,pop,east coast hip hop,queens hip hop",0.761,0.619,5,-5.741,0,0.175,0.00959,0.00000318,0.0896,0.516,129.998,4
1AWQoqb9bSvzTjaLralEkT,"31TPClRtHm23RisEBtV3X7","Rock Your Body","Justified","Justin Timberlake",2002-11-04,267266,83,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"dance pop,pop",0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,4
7IohFKIwrb75c4XaqX7WWo,"085pc2PYOi8bGKj0PNjekA,2d6W4cnC5XsVOaxtgaj9hA","This Is Love","#willpower (Deluxe)","will.i.am,Eva Simons",2013-01-01,279026,62,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"dance pop,pop,dutch pop",0.535,0.796,0,-3.446,0,0.0445,0.00473,0,0.145,0.282,128.954,4
1lr5prHQn7Q766Ix6eGRKK,"3nmaO18tcMzfrrR7sdJHnH,6oHCxanXnGoT4ntOtXwsWX","Freed from Desire (feat. Indiiana)","Freed from Desire (feat. Indiiana)","Drenchill,Indiiana",2018-11-09,161453,69,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"pop edm",0.787,0.759,2,-4.957,0,0.121,0.0665,0,0.0711,0.146,126.004,4
0YU17F0BlVXvmx5ytsR43w,"0TKFPt9w0AAEnhB9bd0pLy,5ENS85nZShljwNgg4wFD7D","Monster","Monster","LUM!X,Gabry Ponte",2019-04-19,154226,72,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"melbourne bounce international,slap house,eurodance,italo dance",0.83,0.794,8,-6.279,0,0.432,0.0253,0.0248,0.106,0.607,128.16,4
6WiGRFQfx2qw49MA7OeDYK,"586uxXMyD5ObPuzjtrzO1Q","Purple Hat","Purple Hat","Sofi Tukker",2019-09-06,178369,65,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"edm",0.777,0.744,9,-7.42,1,0.205,0.335,0.00743,0.088,0.654,94.023,4
0Uqs7ilt5kGX9NzFDWTBrP,"5rSXSAkZ67PYJSvpUpkOr7","Quit Playing Games (With My Heart)","Backstreet Boys","Backstreet Boys",1996-05-06,232666,71,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"boy band,dance pop,pop",0.8,0.825,11,-6.552,0,0.034,0.0559,0.00000218,0.141,0.903,100.035,4
3CUV8wsoTTKznGpEovrnZw,"2dgfCEMSVETFp29mRpiFpz,5dbuFbrHa1SJlQhQX9OUJ2","Sometimes Love Just Ain't Enough","Patty Smyth","Patty Smyth,Don Henley",1992-01-01,267600,63,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"new wave pop,album rock,classic rock,heartland rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.561,0.442,10,-10.687,1,0.0243,0.329,0,0.24,0.267,82.996,4
1AM1o0mKbgAK5oMpY8B3Z7,"6nzxy2wXs6tLgzEtqOkEi2","Angel of Mine","The Boy Is Mine","Monica",1998-07-13,250173,67,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"contemporary r&b,hip pop,r&b,urban contemporary",0.592,0.562,10,-6.869,0,0.0239,0.00373,0.0000323,0.223,0.208,90.16,4
3QLjDkgLh9AOEHlhQtDuhs,"3TVXtAsR1Inumwj472S9r4","Best I Ever Had","So Far Gone","Drake",2009,257690,80,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.395,0.922,1,-2.176,1,0.375,0.19,0,0.134,0.558,162.361,4
3UNrtRxBBlWE70SjxnOo02,"7LnaAXbDVIL75IVPnndf7w,3ipn9JLAPI5GUEo4y4jcoi","Unpredictable (feat. Ludacris) - Main","Unpredictable","Jamie Foxx,Ludacris",2005-12-20,219866,58,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"contemporary r&b,hip pop,r&b,southern hip hop,trap,urban contemporary,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap",0.734,0.599,9,-8.462,1,0.197,0.206,0,0.0555,0.772,145.185,4
5GorFaKkP2mLREQvhSblIg,"05RZIdfz59ZW2FvFuwnmNK","All My Life","Love Always","K-Ci & JoJo",1997-01-01,331240,73,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"contemporary r&b,r&b,urban contemporary",0.629,0.511,1,-8.651,1,0.0326,0.114,0.00000391,0.0588,0.181,128.038,4
7H6ev70Weq6DdpZyyTmUXk,"1Y8cdNmUJH7yBTd9yOvr5i","Say My Name","The Writing's On The Wall","Destiny's Child",1999-07-27,271333,80,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"dance pop,girl group,pop,r&b,urban contemporary",0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,4
1KGi9sZVMeszgZOWivFpxs,"0TImkz4nPqjegtVSMZnMRq","No Scrubs","Fanmail","TLC",1999-02-23,214400,83,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"atl hip hop,contemporary r&b,dance pop,girl group,hip pop,r&b,urban contemporary",0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,4
1L5tZi0izXsi5Kk5OJf4W0,"6Q192DXotxtaysaqNPy5yR","Rehab","Back To Black","Amy Winehouse",2006-10-27,213760,65,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"british soul,neo soul",0.434,0.872,0,-2.974,1,0.0702,0.0473,0.00000183,0.396,0.732,71.515,4
7aJe1fs6N7hrWFCpukMAUC,"1uUuCEXmWpKN2YLl5xSoT2,1uBw9o9xJfe2H3geRocQq4,3AlRiyjMywTVNzTcHbf9QT,0Jsk5iYMr5aNjHury7blm1","Pornstar Martini","Pornstar Martini","$hirak,Cristian D,Lil Kleine,Boef",2023-05-25,162455,63,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"dutch hip hop,dutch rap pop",0.887,0.5,0,-8.953,0,0.105,0.0209,0.00015,0.238,0.516,96.01,4
3cE5ltZFHmBpiS77itKaOM,"3grHWM9bx2E9vwJCdlRv9O","Summertime","The Road And The Radio","Kenny Chesney",2005-11-07,206586,63,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"contemporary country,country,country road,modern country rock",0.48,0.928,4,-5.501,1,0.0899,0.169,0,0.0479,0.713,167.986,4
3Q90SwsnNZDTTG0gqZxTaU,"55KBAeJzZBcJ5AhPW5OOpy","SEX IS GOOD BUT HAVE U EVER","Movement","Soul Legend",2022-04-22,146949,56,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"",0.802,0.61,9,-7.764,1,0.168,0.0384,0.222,0.109,0.82,117.967,4
